query_id,image_id,cosine_similarity,label
0,IicyiaPYGGI,0.14846456,1
1,IicyiaPYGGI,0.19917268,0
2,IicyiaPYGGI,0.25432992,0
3,IicyiaPYGGI,0.12548178,0
4,IicyiaPYGGI,0.2066428,0
5,IicyiaPYGGI,0.16125683,0
6,IicyiaPYGGI,0.17443311,0
7,IicyiaPYGGI,0.22047581,0
8,IicyiaPYGGI,0.2561753,0
9,IicyiaPYGGI,0.13002805,0
0,EwKXn5CapA4,0.16865383,0
1,EwKXn5CapA4,0.21402837,1
2,EwKXn5CapA4,0.2396008,0
3,EwKXn5CapA4,0.2048499,0
4,EwKXn5CapA4,0.19407792,0
5,EwKXn5CapA4,0.17799623,0
6,EwKXn5CapA4,0.18394966,0
7,EwKXn5CapA4,0.24017064,0
8,EwKXn5CapA4,0.2591312,0
9,EwKXn5CapA4,0.16144274,0
0,1Z2niiBPg5A,0.15459444,0
1,1Z2niiBPg5A,0.21571732,0
2,1Z2niiBPg5A,0.24507609,1
3,1Z2niiBPg5A,0.08745468,0
4,1Z2niiBPg5A,0.28137368,0
5,1Z2niiBPg5A,0.14553781,0
6,1Z2niiBPg5A,0.18212494,0
7,1Z2niiBPg5A,0.24018662,0
8,1Z2niiBPg5A,0.21613881,0
9,1Z2niiBPg5A,0.15225305,0
0,UCd78vfC8vU,0.23690985,0
1,UCd78vfC8vU,0.23667206,0
2,UCd78vfC8vU,0.24873918,0
3,UCd78vfC8vU,0.15893741,1
4,UCd78vfC8vU,0.18743725,0
5,UCd78vfC8vU,0.23918132,0
6,UCd78vfC8vU,0.22539301,0
7,UCd78vfC8vU,0.2675359,0
8,UCd78vfC8vU,0.2585511,0
9,UCd78vfC8vU,0.15610094,0
0,cssvEZacHvQ,0.17048259,0
1,cssvEZacHvQ,0.25725493,0
2,cssvEZacHvQ,0.20713404,0
3,cssvEZacHvQ,0.1390943,0
4,cssvEZacHvQ,0.16795422,1
5,cssvEZacHvQ,0.17526774,0
6,cssvEZacHvQ,0.23646241,0
7,cssvEZacHvQ,0.25291073,0
8,cssvEZacHvQ,0.22175366,0
9,cssvEZacHvQ,0.21993177,0
0,d4feocYfzAM,0.19888563,0
1,d4feocYfzAM,0.2290115,0
2,d4feocYfzAM,0.20150167,0
3,d4feocYfzAM,0.093295686,0
4,d4feocYfzAM,0.21635498,0
5,d4feocYfzAM,0.1817135,1
6,d4feocYfzAM,0.23185393,0
7,d4feocYfzAM,0.24770062,0
8,d4feocYfzAM,0.22190632,0
9,d4feocYfzAM,0.17363669,0
0,Rfflri94rs8,0.26902464,0
1,Rfflri94rs8,0.23645297,0
2,Rfflri94rs8,0.21888104,0
3,Rfflri94rs8,0.11948039,0
4,Rfflri94rs8,0.14980966,0
5,Rfflri94rs8,0.26570374,0
6,Rfflri94rs8,0.2205647,1
7,Rfflri94rs8,0.23872007,0
8,Rfflri94rs8,0.23331776,0
9,Rfflri94rs8,0.17013924,0
0,h5wvMCdOV3w,0.19056192,0
1,h5wvMCdOV3w,0.257477,0
2,h5wvMCdOV3w,0.22500914,0
3,h5wvMCdOV3w,0.13320324,0
4,h5wvMCdOV3w,0.21483967,0
5,h5wvMCdOV3w,0.18345934,0
6,h5wvMCdOV3w,0.2940664,0
7,h5wvMCdOV3w,0.2681061,1
8,h5wvMCdOV3w,0.26028875,0
9,h5wvMCdOV3w,0.16425821,0
0,78A265wPiO4,0.1738002,0
1,78A265wPiO4,0.22972587,0
2,78A265wPiO4,0.21620566,0
3,78A265wPiO4,0.10823973,0
4,78A265wPiO4,0.17933887,0
5,78A265wPiO4,0.1770819,0
6,78A265wPiO4,0.17945425,0
7,78A265wPiO4,0.2274513,0
8,78A265wPiO4,0.21759106,1
9,78A265wPiO4,0.2511233,0
0,sLAk1guBG90,0.15388183,0
1,sLAk1guBG90,0.21780322,0
2,sLAk1guBG90,0.242869,0
3,sLAk1guBG90,0.32352585,0
4,sLAk1guBG90,0.16501874,0
5,sLAk1guBG90,0.16933995,0
6,sLAk1guBG90,0.19588009,0
7,sLAk1guBG90,0.2301173,0
8,sLAk1guBG90,0.24320497,0
9,sLAk1guBG90,0.06961545,1
